ID_User,Jumlah_Penghuni,Luas_Rumah_m2,Label_SKEM_AC,Punya_Water_Heater,Watt_AC,Watt_Kulkas,Jam_AC_Harian,Jam_TV_PC_Harian,Jam_Cuci_Harian,Jam_Lampu_Harian,Jam_WaterHeater_Harian,Frekuensi_Cuci_Mingguan,kWh_AC,kWh_Kulkas,kWh_TV_PC,kWh_MesinCuci,kWh_Lampu,kWh_WaterHeater,Estimasi_Sistem_kWh,Meteran_Riil_kWh,Selisih_Persen,IKE_kWh_per_m2,Label_IKE_SNI,Emisi_CO2_kg,Tarif_kWh_Rp,Biaya_Pemakaian_Rp,PPJ_Rp,Biaya_Beban_Rp,Total_Tagihan_Rp,Tagihan_per_Penghuni_Rp,Status_Anomali_RuleBased,Label_Ground_Truth,Skor_Efisiensi,Rekomendasi_Utama
USR-0001,1,85.7,Tidak_Ada,0,0,149,0.0,3.6,0.86,7.2,0.0,4,0.0,106.92,15.56,10.29,8.63,0.0,141.39,136.63,3.36,1.65,Sangat Hemat,123.01,1699.53,232212,6966,47500,286678,286678,Tidak,Normal,68.2,Pertahankan pola pemakaian
USR-0002,2,68.6,Bintang_4,0,413,133,5.6,4.7,1.93,7.8,0.0,9,69.33,95.65,18.94,23.14,18.63,0.0,225.69,215.75,4.4,3.29,Sangat Hemat,196.35,1699.53,366675,11000,47500,425175,212588,Tidak,Normal,74.7,Pertahankan pola pemakaian
USR-0003,4,90.3,Bintang_1,0,843,140,10.7,3.3,0.43,5.9,0.0,2,270.67,100.77,12.7,5.14,28.18,0.0,417.45,408.43,2.16,4.62,Sangat Hemat,363.19,1699.53,694142,20824,47500,762466,190616,Tidak,Normal,76.6,Pertahankan pola pemakaian
USR-0004,4,122.7,Bintang_1,0,897,130,10.3,8.4,0.21,6.0,0.0,1,277.21,93.5,31.14,2.57,29.0,0.0,433.42,418.87,3.36,3.53,Sangat Hemat,377.08,1699.53,711889,21357,47500,780745,195186,Tidak,Normal,75.7,Pertahankan pola pemakaian
USR-0005,7,66.3,Bintang_4,1,394,149,6.4,2.2,1.29,8.2,0.35,6,75.28,107.26,8.79,15.43,68.98,3.67,279.41,287.77,2.99,4.21,Sangat Hemat,243.08,1699.53,489074,14672,47500,551246,78749,Tidak,Normal,91.0,Pertahankan pola pemakaian
USR-0006,1,66.3,Bintang_4,0,450,145,10.1,3.7,0.43,7.1,0.0,2,136.13,104.44,14.53,5.14,8.56,0.0,268.81,257.05,4.37,4.05,Sangat Hemat,233.87,1699.53,436872,13106,47500,497478,497478,Tidak,Normal,39.6,Pertahankan pola pemakaian
USR-0007,4,125.1,Bintang_4,0,421,193,6.4,5.9,0.64,5.4,0.0,3,80.82,138.89,24.86,7.71,25.84,0.0,278.12,435.23,56.49,2.22,Sangat Hemat,241.96,1699.53,739695,22191,47500,809386,202346,Ya,Anomal,84.4,Pertahankan pola pemakaian
USR-0008,6,94.2,Bintang_1,0,754,168,8.7,1.9,0.21,5.4,0.0,1,197.22,120.88,8.0,2.57,38.74,0.0,367.42,363.11,1.17,3.9,Sangat Hemat,319.65,1699.53,617115,18513,47500,683129,113855,Tidak,Normal,86.2,Pertahankan pola pemakaian
USR-0009,5,61.1,Bintang_4,0,448,169,7.8,5.0,0.64,7.0,0.0,3,105.37,121.96,25.69,7.71,41.74,0.0,302.47,307.77,1.75,4.95,Sangat Hemat,263.15,1699.53,523069,15692,47500,586261,117252,Tidak,Normal,86.4,Pertahankan pola pemakaian
USR-0010,1,87.1,Bintang_4,0,427,159,5.4,2.7,0.21,5.0,0.0,1,68.71,114.79,13.72,2.57,5.99,0.0,205.78,326.19,58.52,2.36,Sangat Hemat,179.02,1699.53,554372,16631,47500,618503,618503,Ya,Anomal,53.8,Pertahankan pola pemakaian
USR-0011,6,61.2,Bintang_4,1,366,143,6.3,1.3,0.43,7.1,0.88,2,69.7,102.71,4.04,5.14,51.03,9.22,241.85,252.03,4.21,3.95,Sangat Hemat,210.41,1699.53,428331,12850,47500,488681,81447,Tidak,Normal,90.9,Pertahankan pola pemakaian
USR-0012,4,61.2,Tidak_Ada,0,0,144,0.0,1.1,0.86,6.3,0.0,4,0.0,104.03,4.51,10.29,30.4,0.0,149.24,153.23,2.67,2.44,Sangat Hemat,129.84,1699.53,260414,7812,47500,315726,78932,Tidak,Normal,91.6,Pertahankan pola pemakaian
USR-0013,7,78.4,Bintang_1,0,879,146,7.2,2.6,1.29,6.5,0.0,6,191.1,105.35,14.48,15.43,54.75,0.0,381.11,367.4,3.6,4.86,Sangat Hemat,331.57,1699.53,624399,18732,47500,690631,98662,Tidak,Normal,87.8,Pertahankan pola pemakaian
USR-0014,4,36.9,Bintang_1,0,860,154,11.8,4.9,0.43,5.7,0.0,2,305.13,110.71,23.47,5.14,27.57,0.0,472.02,458.75,2.81,12.81,Sangat Hemat,410.66,1699.53,779658,23390,47500,850548,212637,Tidak,Normal,73.5,Pertahankan pola pemakaian
USR-0015,5,39.4,Bintang_1,0,852,158,6.2,0.8,0.43,5.4,0.0,2,158.04,113.6,3.75,5.14,32.22,0.0,312.76,317.26,1.44,7.94,Sangat Hemat,272.1,1699.53,539196,16176,47500,602872,120574,Tidak,Normal,86.0,Pertahankan pola pemakaian
USR-0016,6,59.1,Bintang_1,1,836,150,5.6,3.1,0.43,7.5,0.53,2,140.19,108.01,14.45,5.14,53.73,5.53,327.06,340.85,4.22,5.53,Sangat Hemat,284.54,1699.53,579281,17378,47500,644160,107360,Tidak,Normal,87.8,Pertahankan pola pemakaian
USR-0017,4,50.5,Bintang_4,0,399,144,6.2,4.6,0.86,5.8,0.0,4,74.44,103.82,19.8,10.29,27.62,0.0,235.96,234.68,0.54,4.67,Sangat Hemat,205.28,1699.53,398846,11965,47500,458311,114578,Tidak,Normal,86.8,Pertahankan pola pemakaian
USR-0018,5,80.4,Tidak_Ada,1,0,138,0.0,1.3,0.64,5.6,0.27,3,0.0,99.44,5.64,7.71,33.53,2.85,149.17,148.96,0.14,1.86,Sangat Hemat,129.78,1699.53,253162,7595,47500,308257,61651,Tidak,Normal,93.3,Pertahankan pola pemakaian
USR-0019,1,52.4,Tidak_Ada,0,0,122,0.0,1.9,1.29,5.9,0.0,6,0.0,87.95,7.69,15.43,7.1,0.0,118.16,115.07,2.62,2.26,Sangat Hemat,102.8,1699.53,195559,5867,47500,248926,248926,Tidak,Normal,73.5,Pertahankan pola pemakaian
USR-0020,4,43.9,Bintang_4,0,421,176,6.7,3.8,0.64,6.2,0.0,3,84.64,126.48,20.2,7.71,29.73,0.0,268.75,265.61,1.17,6.12,Sangat Hemat,233.81,1699.53,451410,13542,47500,512452,128113,Tidak,Normal,84.9,Pertahankan pola pemakaian
